type,speaker,start,end,text,word,word_position,confidence,overlap_duration
segment,SPEAKER_01,0.43,5.03,"Yeah, I reckon the one player you didn't mention the West End with lost is kind of with this was the worst one",,,-0.5688779441109539,4.257
word,SPEAKER_01,0.43,0.95,"Yeah, I reckon the one player you didn't mention the West End with lost is kind of with this was the worst one","Yeah,",0,0.2797084152698517,4.257
word,SPEAKER_01,1.05,1.09,"Yeah, I reckon the one player you didn't mention the West End with lost is kind of with this was the worst one",I,1,0.3780750632286072,4.257
word,SPEAKER_01,1.09,1.17,"Yeah, I reckon the one player you didn't mention the West End with lost is kind of with this was the worst one",reckon,2,0.4583419859409332,4.257
word,SPEAKER_01,1.17,1.33,"Yeah, I reckon the one player you didn't mention the West End with lost is kind of with this was the worst one",the,3,0.9528666138648987,4.257
word,SPEAKER_01,1.33,1.41,"Yeah, I reckon the one player you didn't mention the West End with lost is kind of with this was the worst one",one,4,0.9728506207466125,4.257
word,SPEAKER_01,1.41,1.65,"Yeah, I reckon the one player you didn't mention the West End with lost is kind of with this was the worst one",player,5,0.6815674901008606,4.257
word,SPEAKER_01,1.65,1.81,"Yeah, I reckon the one player you didn't mention the West End with lost is kind of with this was the worst one",you,6,0.9328171014785767,4.257
word,SPEAKER_01,1.81,1.95,"Yeah, I reckon the one player you didn't mention the West End with lost is kind of with this was the worst one",didn't,7,0.9789654016494751,4.257
word,SPEAKER_01,1.95,2.23,"Yeah, I reckon the one player you didn't mention the West End with lost is kind of with this was the worst one",mention,8,0.6904231905937195,4.257
word,SPEAKER_01,2.23,2.47,"Yeah, I reckon the one player you didn't mention the West End with lost is kind of with this was the worst one",the,9,0.4580608606338501,4.257
word,SPEAKER_01,2.47,2.61,"Yeah, I reckon the one player you didn't mention the West End with lost is kind of with this was the worst one",West,10,0.2695816159248352,4.257
word,SPEAKER_01,2.61,2.77,"Yeah, I reckon the one player you didn't mention the West End with lost is kind of with this was the worst one",End,11,0.19153738021850586,4.257
word,SPEAKER_01,2.77,2.89,"Yeah, I reckon the one player you didn't mention the West End with lost is kind of with this was the worst one",with,12,0.46050000190734863,4.257
word,SPEAKER_01,2.89,3.05,"Yeah, I reckon the one player you didn't mention the West End with lost is kind of with this was the worst one",lost,13,0.4226856827735901,4.257
word,SPEAKER_01,3.05,3.25,"Yeah, I reckon the one player you didn't mention the West End with lost is kind of with this was the worst one",is,14,0.6408929824829102,4.257
word,SPEAKER_01,3.25,3.39,"Yeah, I reckon the one player you didn't mention the West End with lost is kind of with this was the worst one",kind,15,0.2607877552509308,4.257
word,SPEAKER_01,3.39,3.51,"Yeah, I reckon the one player you didn't mention the West End with lost is kind of with this was the worst one",of,16,0.9967527985572815,4.257
word,SPEAKER_01,3.51,4.19,"Yeah, I reckon the one player you didn't mention the West End with lost is kind of with this was the worst one",with,17,0.18543341755867004,4.257
word,SPEAKER_01,4.19,4.39,"Yeah, I reckon the one player you didn't mention the West End with lost is kind of with this was the worst one",this,18,0.3151703476905823,4.257
word,SPEAKER_01,4.39,4.59,"Yeah, I reckon the one player you didn't mention the West End with lost is kind of with this was the worst one",was,19,0.2570956349372864,4.257
word,SPEAKER_01,4.59,4.69,"Yeah, I reckon the one player you didn't mention the West End with lost is kind of with this was the worst one",the,20,0.9394791126251221,4.257
word,SPEAKER_01,4.69,4.89,"Yeah, I reckon the one player you didn't mention the West End with lost is kind of with this was the worst one",worst,21,0.926399827003479,4.257
word,SPEAKER_01,4.89,5.03,"Yeah, I reckon the one player you didn't mention the West End with lost is kind of with this was the worst one",one,22,0.19557003676891327,4.257
segment,SPEAKER_01,5.03,9.21,"Glen Johnson. Oh, yeah, it's going to be really good. It's going to be excellent",,,-0.5688779441109539,3.995
word,SPEAKER_01,5.03,5.25,"Glen Johnson. Oh, yeah, it's going to be really good. It's going to be excellent",Glen,0,0.043045032769441605,3.995
word,SPEAKER_01,5.25,5.63,"Glen Johnson. Oh, yeah, it's going to be really good. It's going to be excellent",Johnson.,1,0.9254012703895569,3.995
word,SPEAKER_01,6.09,6.15,"Glen Johnson. Oh, yeah, it's going to be really good. It's going to be excellent","Oh,",2,0.9640666246414185,3.995
word,SPEAKER_01,6.27,6.39,"Glen Johnson. Oh, yeah, it's going to be really good. It's going to be excellent","yeah,",3,0.954645574092865,3.995
word,SPEAKER_01,6.39,6.57,"Glen Johnson. Oh, yeah, it's going to be really good. It's going to be excellent",it's,4,0.6644789576530457,3.995
word,SPEAKER_01,6.57,6.57,"Glen Johnson. Oh, yeah, it's going to be really good. It's going to be excellent",going,5,0.28983545303344727,3.995
word,SPEAKER_01,6.57,6.67,"Glen Johnson. Oh, yeah, it's going to be really good. It's going to be excellent",to,6,0.9976692795753479,3.995
word,SPEAKER_01,6.67,6.81,"Glen Johnson. Oh, yeah, it's going to be really good. It's going to be excellent",be,7,0.9975727200508118,3.995
word,SPEAKER_01,6.81,7.07,"Glen Johnson. Oh, yeah, it's going to be really good. It's going to be excellent",really,8,0.9173144102096558,3.995
word,SPEAKER_01,7.07,7.75,"Glen Johnson. Oh, yeah, it's going to be really good. It's going to be excellent",good.,9,0.8128771185874939,3.995
word,SPEAKER_01,7.89,8.29,"Glen Johnson. Oh, yeah, it's going to be really good. It's going to be excellent",It's,10,0.7138371616601944,3.995
word,SPEAKER_01,8.29,8.35,"Glen Johnson. Oh, yeah, it's going to be really good. It's going to be excellent",going,11,0.8975028991699219,3.995
word,SPEAKER_01,8.35,8.41,"Glen Johnson. Oh, yeah, it's going to be really good. It's going to be excellent",to,12,0.9936973452568054,3.995
word,SPEAKER_01,8.41,8.57,"Glen Johnson. Oh, yeah, it's going to be really good. It's going to be excellent",be,13,0.9975791573524475,3.995
word,SPEAKER_01,8.57,9.21,"Glen Johnson. Oh, yeah, it's going to be really good. It's going to be excellent",excellent,14,0.9785528182983398,3.995
segment,SPEAKER_00,9.69,17.75,"So you've been to see Tottenham a couple of times. Yeah, I'm like, you sure it was cheap tickets",,,-0.5688779441109539,2.7
word,SPEAKER_00,9.69,10.09,"So you've been to see Tottenham a couple of times. Yeah, I'm like, you sure it was cheap tickets",So,0,0.43818557262420654,2.7
word,SPEAKER_00,10.09,10.27,"So you've been to see Tottenham a couple of times. Yeah, I'm like, you sure it was cheap tickets",you've,1,0.7527265548706055,2.7
word,SPEAKER_00,10.27,10.29,"So you've been to see Tottenham a couple of times. Yeah, I'm like, you sure it was cheap tickets",been,2,0.9679945707321167,2.7
word,SPEAKER_00,10.29,10.43,"So you've been to see Tottenham a couple of times. Yeah, I'm like, you sure it was cheap tickets",to,3,0.9265486001968384,2.7
word,SPEAKER_00,10.43,10.53,"So you've been to see Tottenham a couple of times. Yeah, I'm like, you sure it was cheap tickets",see,4,0.8900829553604126,2.7
word,SPEAKER_00,10.53,10.75,"So you've been to see Tottenham a couple of times. Yeah, I'm like, you sure it was cheap tickets",Tottenham,5,0.7508404155572256,2.7
word,SPEAKER_00,10.75,10.91,"So you've been to see Tottenham a couple of times. Yeah, I'm like, you sure it was cheap tickets",a,6,0.8875036239624023,2.7
word,SPEAKER_00,10.91,11.05,"So you've been to see Tottenham a couple of times. Yeah, I'm like, you sure it was cheap tickets",couple,7,0.9966251850128174,2.7
word,SPEAKER_00,11.05,11.21,"So you've been to see Tottenham a couple of times. Yeah, I'm like, you sure it was cheap tickets",of,8,0.7519786357879639,2.7
word,SPEAKER_00,11.21,11.33,"So you've been to see Tottenham a couple of times. Yeah, I'm like, you sure it was cheap tickets",times.,9,0.8871926665306091,2.7
word,SPEAKER_00,11.61,12.01,"So you've been to see Tottenham a couple of times. Yeah, I'm like, you sure it was cheap tickets","Yeah,",10,0.9742172956466675,2.7
word,SPEAKER_00,12.01,14.89,"So you've been to see Tottenham a couple of times. Yeah, I'm like, you sure it was cheap tickets",I'm,11,0.3173270560801029,2.7
